Index Configuration Level NIST GRASP1a GRASP1b GRASP2 FAC1 FAC2 AS
43 3p3d 1F3 2.14525 2.18534 2.18457 2.20377 2.20287 ------- 2.20702
44 3p3d 1P1 2.15014 2.18598 2.18522 2.17324 2.17197 2.16384 2.17717
45 3p4p 1P1 2.21333 2.18680 2.18612 2.18693 2.20251 2.20399 2.19865
46 3p4p 3D1 2.23021 2.20258 2.20199 2.20624 2.22317 2.22090 2.22118
47 3p4p 3D2 2.23138 2.20410 2.20344 2.20769 2.22459 2.22189 2.22238
48 3p4p 3D3 2.23339 2.20668 2.20591 2.21010 2.22666 2.22334 2.22428
49 3p4p 3P0 2.23195 2.23441 2.23387 2.23444 2.26013 2.26000 2.26621
50 3p4p 3P1 2.23200 2.23518 2.23460 2.23518 2.26015 2.26220 2.26690
51 3p4p 3P2 2.23209 2.23696 2.23629 2.23688 2.26233 2.26419 2.26799
52 3p4p 3S1 2.26699 2.24617 2.24546 2.24630 2.26246 2.26591 2.25977
53 3p4p 1D2 2.25935 2.28199 2.28137 2.28769 2.31315 ------- 2.31166
54 3p4p 1S0 2.36000 2.36378 2.36320 2.34289 2.36962 2.36323 2.37654
55 3p4d 1D2 2.43749 2.44106 2.44031 2.44219 2.45291 2.45470 2.46804
56 3p4d 3F2 ------- 2.44839 2.44769 2.44941 2.46175 2.46365 2.48034
57 3p4d 3F3 ------- 2.44947 2.44873 2.45045 2.46129 2.46319 2.48123
58 3p4d 3F4 2.43934 2.45155 2.45070 2.45242 2.46429 2.46620 2.48226
59 3p4d 3D1 ------- 2.45784 2.45711 2.45864 2.46884 2.47000 2.47729
60 3p4d 3D2 ------- 2.45841 2.45764 2.45917 2.46823 2.46940 2.47741
61 3p4d 3D3 ------- 2.45920 2.45838 2.45991 2.46962 2.47081 2.47787
62 3p4d 3P2 ------- 2.48056 2.47981 2.48031 2.49131 2.49178 2.50453
63 3p4d 3P1 ------- 2.48183 2.48103 2.48151 2.49260 2.49306 2.50537
64 3p4d 3P0 ------- 2.48247 2.48165 2.48211 2.49262 2.49309 2.50580
65 3p4f 3F4 ------- 2.48375 2.48298 2.48419 2.49923 2.50027 2.50781
66 3p4f 3F2 ------- 2.48414 2.48336 2.48407 2.49886 2.49964 2.50777
67 3p4f 3F3 ------- 2.48443 2.48363 2.48435 2.49944 2.50023 2.50798
68 3p4f 1G4 ------- 2.48610 2.48521 2.48672 2.50105 2.50381 2.50941
69 3p4f 1F3 ------- 2.49180 2.49103 2.49203 2.50706 2.50809 2.51659
70 3p4f 3G3 ------- 2.50475 2.50402 2.50713 2.52138 2.52568 2.53226
71 3p4f 3G4 ------- 2.50610 2.50531 2.50842 2.52314 2.52745 2.53318
72 3p4f 3G5 ------- 2.50768 2.50682 2.50994 2.52404 2.52835 2.53429
73 3p4d 1F3 ------- 2.52039 2.51958 2.51535 2.52379 2.52724 2.52616
74 3p4f 1D2 ------- 2.52589 2.52509 2.52479 2.53838 2.53886 2.54964
75 3p4f 3D3 ------- 2.52883 2.52808 2.52720 2.54190 2.54225 2.55412
76 3p4f 3D2 ------- 2.53042 2.52959 2.52870 2.54303 2.54338 2.55508
77 3p4f 3D1 ------- 2.53105 2.53021 2.52925 2.54397 2.54431 2.55557
78 3p4d 1P1 ------- 2.56389 2.56313 2.54271 2.55313 2.54705 2.55396
79 3d2 3F2 ------- 2.68715 2.68601 2.66494 2.67322 2.67008 2.67839
80 3d2 3F3 ------- 2.68717 2.68601 2.66506 2.67335 2.67021 2.67850
81 3d2 3F4 ------- 2.68720 2.68601 2.66518 2.67337 2.67023 2.67864
82 3d2 3P0 ------- 2.75379 2.75263 2.75259 2.75556 2.75716 2.75707
83 3d2 3P1 ------- 2.75379 2.75263 2.75260 2.75555 2.75716 2.75710
84 3d2 3P2 ------- 2.75381 2.75262 2.75258 2.75552 2.75715 2.75714
85 3d2 1D2 ------- 2.77710 2.77599 2.80829 2.81150 ------- 2.81063
86 3d2 1G4 ------- 2.80606 2.80491 2.85366 2.85931 ------- 2.87269
87 3d4s 3D1 ------- 2.83872 2.83767 2.84176 2.85939 2.85216 2.87157
88 3d4s 3D2 ------- 2.83873 2.83766 2.84177 2.85934 ------- 2.87161
89 3d4s 3D3 ------- 2.83875 2.83765 2.84179 2.85928 2.85359 2.87168
90 3d4s 1D2 ------- 2.88996 2.88887 2.90281 2.93295 ------- 2.96197
91 3d2 1S0 ------- 2.94903 2.94789 2.94408 2.94987 2.95116 2.95683
92 3d4p 1D2 ------- 2.99386 2.99275 2.99431 3.00824 3.01031 3.02972
93 3d4p 3D1 ------- 3.00925 3.00817 3.01273 3.03227 3.04207 3.05616
94 3d4p 3D2 ------- 3.00936 3.00826 3.01282 3.03031 3.03401 3.05629
95 3d4p 3D3 ------- 3.00954 3.00842 3.01298 3.02958 3.03335 3.05647
96 3d4p 3F2 ------- 3.01719 3.01612 3.01899 3.03172 3.04156 3.04809
97 3d4p 3F3 ------- 3.01757 3.01647 3.01934 3.03224 3.04203 3.04843
98 3d4p 3F4 ------- 3.01807 3.01693 3.01980 3.03067 3.03439 3.04891
99 3d4p 3P2 ------- 3.05145 3.05034 3.05280 3.06787 3.07060 3.08826
100 3d4p 3P1 ------- 3.05175 3.05066 3.05312 3.06833 3.07106 3.08850
101 3d4p 3P0 ------- 3.05191 3.05082 3.05328 3.06812 3.07085 3.08862
102 3d4p 1F3 ------- 3.07416 3.07308 3.08415 3.10993 3.13158 3.13350
103 3d4p 1P1 ------- 3.10444 3.10340 3.11166 3.13401 3.15623 3.14704
104 3d4d 1F3 ------- 3.22055 3.21933 3.21952 3.21767 3.21835 3.24330
105 3d4d 3D1 ------- 3.23131 3.23010 3.23101 3.22990 3.23111 3.25538
106 3d4d 3D2 ------- 3.23131 3.23009 3.23101 3.22931 3.23052 3.25541
107 3d4d 3D3 ------- 3.23131 3.23008 3.23100 3.22963 3.23083 3.25545
108 3d4d 1P1 ------- 3.23834 3.23712 3.23840 3.23768 3.23902 3.26374
109 3d4d 3G3 ------- 3.23881 3.23761 3.23882 3.23827 3.23955 3.26406
110 3d4d 3G4 ------- 3.23882 3.23760 3.23881 3.23747 3.23875 3.26411
111 3d4d 3G5 ------- 3.23883 3.23758 3.23879 3.23796 3.23924 3.26418
112 3d4d 3S1 ------- 3.26075 3.25953 3.26169 3.26205 3.26402 3.29012
113 3d4d 3F4 ------- 3.26738 3.26615 3.26799 3.28500 3.28700 3.33364
114 3d4d 3F3 ------- 3.26738 3.26617 3.26801 3.28461 3.28661 3.33367
115 3d4d 3F2 ------- 3.26739 3.26619 3.26803 3.28528 3.28728 3.33371
116 3d4f 1G4 ------- 3.27350 3.27227 3.27276 3.27845 3.27871 3.30982
117 3d4f 3H4 ------- 3.28202 3.28080 3.28256 3.28532 3.28702 3.31445
118 3d4f 3H5 ------- 3.28202 3.28078 3.28256 3.28582 3.28752 3.31449
119 3d4f 3H6 ------- 3.28202 3.28077 3.28255 3.28530 3.28702 3.31453
120 3d4f 3F2 ------- 3.28752 3.28630 3.28794 3.29414 3.29543 3.32719
121 3d4f 3F3 ------- 3.28753 3.28630 3.28794 3.29450 3.29578 3.32721
122 3d4f 3F4 ------- 3.28754 3.28630 3.28794 3.29421 3.29549 3.32723
123 3d4f 1D2 ------- 3.30258 3.30134 3.30419 3.31125 3.31274 3.34706
124 3d4d 3P0 ------- 3.30652 3.30533 3.30328 3.32200 3.32187 3.36788
125 3d4d 3P1 ------- 3.30652 3.30533 3.30359 3.32126 3.32113 3.36789
126 3d4d 3P2 ------- 3.30653 3.30532 3.30359 3.32150 3.32138 3.36792
127 3d4d 1D2 ------- 3.30703 3.30584 3.30358 3.32238 3.32366 3.36529
128 3d4d 1G4 ------- 3.30785 3.30664 3.30541 3.32341 3.32600 3.37048
129 3d4f 3G3 ------- 3.31549 3.31426 3.31694 3.33103 3.33394 3.37398
130 3d4f 3G4 ------- 3.31549 3.31425 3.31693 3.33146 3.33438 3.37400
131 3d4f 3G5 ------- 3.31549 3.31424 3.31692 3.33105 3.33397 3.37403
132 3d4f 3D1 ------- 3.32947 3.32824 3.32884 3.34263 3.34444 3.38580
133 3d4f 3D2 ------- 3.32948 3.32824 3.32885 3.34288 3.34469 3.38580
134 3d4f 3D3 ------- 3.32948 3.32824 3.32885 3.34273 3.34454 3.38581
135 3d4f 3P2 ------- 3.33868 3.33746 3.33883 3.34932 3.35154 3.38935
136 3d4f 3P1 ------- 3.33869 3.33746 3.33883 3.34920 3.35143 3.38938
137 3d4f 3P0 ------- 3.33870 3.33746 3.33884 3.34943 3.35166 3.38940
138 3d4f 1F3 ------- 3.34011 3.33888 3.33677 3.35318 3.35537 3.40009
139 3d4f 1H5 ------- 3.36941 3.36816 3.36529 3.38543 3.38772 3.43628
140 3d4f 1P1 ------- 3.38789 3.38667 3.36995 3.38510 3.38548 3.42938
141 3d4d 1S0 ------- 3.42671 3.42560 3.37590 3.39343 3.38682 3.43476
